,DATE,AvgTemp
768,2/8/2016,42.0
769,2/9/2016,45.0
770,2/10/2016,45.0
771,2/11/2016,46.0
772,2/12/2016,50.0
773,2/13/2016,52.0
774,2/14/2016,51.0
775,2/15/2016,48.0
776,2/16/2016,48.0
777,2/17/2016,51.0
778,2/18/2016,48.0
779,2/19/2016,47.0
780,2/20/2016,48.0
781,2/21/2016,50.0
782,2/22/2016,52.0
783,2/23/2016,54.0
784,2/24/2016,54.0
785,2/25/2016,46.0
786,2/26/2016,45.0
787,2/27/2016,48.0
788,2/28/2016,46.0
789,2/29/2016,49.0
790,3/1/2016,50.0
791,3/2/2016,50.0
792,3/3/2016,51.0
793,3/4/2016,50.0
794,3/5/2016,48.0
795,3/6/2016,49.0
796,3/7/2016,49.0
797,3/8/2016,55.0
798,3/9/2016,50.0
799,3/10/2016,47.0
800,3/11/2016,44.0
801,3/12/2016,45.0
802,3/13/2016,46.0
803,3/14/2016,47.0
804,3/15/2016,44.0
805,3/16/2016,45.0
806,3/17/2016,45.0
807,3/18/2016,44.0
808,3/19/2016,46.0
809,3/20/2016,46.0
810,3/21/2016,46.0
811,3/22/2016,44.0
812,3/23/2016,40.0
813,3/24/2016,40.0
814,3/25/2016,41.0
815,3/26/2016,42.0
816,3/27/2016,47.0
817,3/28/2016,51.0
818,3/29/2016,52.0
819,3/30/2016,51.0
820,3/31/2016,52.0
821,4/1/2016,50.0
822,4/2/2016,50.0
823,4/3/2016,52.0
824,4/4/2016,54.0
825,4/5/2016,53.0
826,4/6/2016,50.0
827,4/7/2016,48.0
828,4/8/2016,46.0
829,4/9/2016,48.0
830,4/10/2016,47.0
831,4/11/2016,51.0
832,4/12/2016,50.0
833,4/13/2016,49.0
834,4/14/2016,49.0
835,4/15/2016,45.0
836,4/16/2016,44.0
837,4/17/2016,45.0
838,4/18/2016,48.0
839,4/19/2016,46.0
840,4/20/2016,
841,4/21/2016,50.0
842,4/22/2016,50.0
843,4/23/2016,50.0
844,4/24/2016,51.0
845,4/25/2016,48.0
846,4/26/2016,50.0
847,4/27/2016,51.0
848,4/28/2016,50.0
849,4/29/2016,53.0
850,4/30/2016,48.0
851,5/1/2016,49.0
852,5/2/2016,54.0
853,5/3/2016,52.0
854,5/4/2016,55.0
855,5/5/2016,51.0
856,5/6/2016,49.0
857,5/7/2016,47.0
858,5/8/2016,47.0
859,5/9/2016,44.0
860,5/10/2016,43.0
861,5/11/2016,45.0
862,5/12/2016,45.0
863,5/13/2016,44.0
864,5/14/2016,50.0
865,5/15/2016,52.0
866,5/16/2016,52.0
867,5/17/2016,52.0
868,5/18/2016,51.0
869,5/19/2016,51.0
870,5/20/2016,49.0
871,5/21/2016,49.0
872,5/22/2016,47.0
873,5/23/2016,44.0
874,5/24/2016,42.0
875,5/25/2016,43.0
876,5/26/2016,44.0
877,5/27/2016,44.0
878,5/28/2016,45.0
879,5/29/2016,46.0
880,5/30/2016,47.0
881,5/31/2016,49.0
882,6/1/2016,48.0
883,6/2/2016,49.0
884,6/3/2016,49.0
